Date,Beach,Attendance
2021-08-06,Manhattan Beach,2300
2021-08-24,Rockaway Beach,83000
2017-07-12,South Beach,1950
2018-07-25,Midland Beach,600
2018-07-29,Cedar Grove Beach,500
2022-06-09,Orchard Beach,1000
2023-07-12,Manhattan Beach,5000
2023-07-03,Midland Beach,2156
2019-06-10,Midland Beach,250
2019-07-26,Orchard Beach,6200
2019-07-29,Wolfe's Pond Beach,200
2020-07-03,Cedar Grove Beach,305
2020-07-08,Manhattan Beach,800
2021-07-13,Coney Island Beach,60650
2021-08-04,South Beach,1125
2017-06-30,Cedar Grove Beach,45
2017-08-01,Rockaway Beach,16500
2017-08-20,Orchard Beach,2850
2017-08-23,Wolfe's Pond Beach,115
2017-08-30,Coney Island Beach,7750
2022-06-08,Cedar Grove Beach,40
2022-06-13,Manhattan Beach,600
2023-07-08,Orchard Beach,36750
2023-06-18,Coney Island Beach,87500
2023-06-11,Wolfe's Pond Beach,23
2018-06-08,Rockaway Beach,22500
2018-07-31,Manhattan Beach,980
2019-06-05,Cedar Grove Beach,40
2020-06-14,Coney Island Beach,5800
2020-08-26,Wolfe's Pond Beach,235
2021-08-02,Orchard Beach,4100
2023-07-13,South Beach,1185
2024-08-30,Rockaway Beach,3000
2024-07-09,Wolfe's Pond Beach,450
2024-08-05,Orchard Beach,12500
2017-06-07,Cedar Grove Beach,50
2017-06-17,Coney Island Beach,306000
2018-07-19,South Beach,2550
2019-07-29,Orchard Beach,3900
2022-07-03,Rockaway Beach,151500
2022-07-25,Wolfe's Pond Beach,98
2023-08-06,Midland Beach,1445
2023-06-27,South Beach,390
2024-07-04,Manhattan Beach,6600
2017-08-23,Orchard Beach,3675
2020-07-28,Rockaway Beach,15000
2020-08-02,Midland Beach,2600
2020-08-21,Manhattan Beach,3700
2022-06-01,South Beach,575
2017-08-18,Manhattan Beach,3100
2019-08-17,South Beach,15000
2021-06-04,Rockaway Beach,3000
2022-07-08,Midland Beach,375
2023-06-06,Manhattan Beach,350
2023-08-23,Wolfe's Pond Beach,207
2024-07-25,South Beach,775
2018-08-20,Rockaway Beach,9000
2018-08-25,Midland Beach,4800
2019-07-24,Manhattan Beach,650
2020-07-10,Orchard Beach,273
2023-09-06,Coney Island Beach,8000
2023-08-27,Cedar Grove Beach,420
2024-06-07,Rockaway Beach,42000
2024-06-12,Midland Beach,1000
2020-06-23,Coney Island Beach,19200
2021-06-28,Manhattan Beach,1900
2024-08-29,Rockaway Beach,4500
2018-06-25,Manhattan Beach,700
2019-05-26,South Beach,8800
2022-05-29,Coney Island Beach,35500
2022-06-18,Orchard Beach,4600
2022-07-29,Cedar Grove Beach,150
2017-06-10,Orchard Beach,21200
2017-06-20,South Beach,730
2018-07-16,Coney Island Beach,28500
2020-05-30,Manhattan Beach,1700
2020-06-06,Wolfe's Pond Beach,250
2023-08-01,Rockaway Beach,79000
2024-07-03,Cedar Grove Beach,335
2024-09-03,Midland Beach,425
2017-05-27,Manhattan Beach,3800
2018-07-02,Wolfe's Pond Beach,200
2020-06-23,South Beach,2700
2020-08-20,Cedar Grove Beach,330
2021-08-26,Rockaway Beach,128000
2021-08-31,Midland Beach,1240
2023-07-17,Orchard Beach,12000
2023-06-10,Wolfe's Pond Beach,50
2017-08-17,Cedar Grove Beach,30
2018-06-03,Midland Beach,850
2019-08-08,South Beach,1900
2021-07-05,Wolfe's Pond Beach,7500
2021-08-11,Orchard Beach,9800
2022-08-20,Coney Island Beach,204000
2023-09-06,South Beach,910
2023-06-05,Cedar Grove Beach,123
2019-07-09,Rockaway Beach,6500
2019-07-23,Cedar Grove Beach,25
2019-07-31,Wolfe's Pond Beach,40
2019-08-17,Coney Island Beach,100000
2021-09-10,Manhattan Beach,350
2022-08-11,South Beach,475
2024-08-14,Orchard Beach,3500
2024-07-25,Coney Island Beach,11800
2017-08-25,Wolfe's Pond Beach,530
2020-09-05,South Beach,4700
2021-06-27,Cedar Grove Beach,140
2021-07-22,Coney Island Beach,80000
2022-08-03,Wolfe's Pond Beach,232
2022-09-09,Orchard Beach,2900
2023-08-16,Manhattan Beach,1320
2017-09-08,Coney Island Beach,6000
2018-06-10,Rockaway Beach,4000
2018-06-24,Cedar Grove Beach,110
2018-07-12,Orchard Beach,3200
2020-08-12,Manhattan Beach,925
2020-08-28,Wolfe's Pond Beach,370
2023-06-27,Coney Island Beach,20175
2024-08-22,Midland Beach,975
2019-06-04,Coney Island Beach,10000
2020-05-29,Cedar Grove Beach,20
2021-06-09,Midland Beach,725
2022-07-18,Manhattan Beach,400
2024-07-11,Wolfe's Pond Beach,800
2024-06-19,Rockaway Beach,150000
2017-07-27,Midland Beach,800
2019-08-10,Orchard Beach,45000
2020-06-14,South Beach,5800
2021-05-29,Orchard Beach,325
2022-07-15,Rockaway Beach,4000
2024-06-22,Manhattan Beach,650
2024-07-13,South Beach,1145
2017-08-03,Rockaway Beach,29000
2017-08-30,South Beach,1150
2017-09-04,Orchard Beach,2500
2019-07-02,Midland Beach,2200
2021-06-19,Manhattan Beach,3200
2017-06-12,Wolfe's Pond Beach,350
2017-08-06,Manhattan Beach,280
2020-08-06,Rockaway Beach,10000
2021-07-13,South Beach,710
2021-09-09,Cedar Grove Beach,0
2022-06-27,Orchard Beach,57
2017-06-17,Manhattan Beach,350
2017-07-10,Rockaway Beach,19500
2017-08-01,Wolfe's Pond Beach,75
2019-06-23,Midland Beach,7000
2020-07-22,Orchard Beach,4023
2022-06-10,Coney Island Beach,20950
2022-09-01,South Beach,550
2023-09-09,Manhattan Beach,2800
2023-08-15,Cedar Grove Beach,88
2024-05-31,Midland Beach,475
2018-07-28,Coney Island Beach,84000
2020-08-11,Cedar Grove Beach,280
2021-06-14,Wolfe's Pond Beach,1300
2024-06-04,Orchard Beach,1325
2017-07-15,Midland Beach,19500
2018-08-30,Wolfe's Pond Beach,145
2019-05-28,Orchard Beach,275
2020-07-02,Coney Island Beach,103500
2021-08-20,Orchard Beach,10200
2022-07-17,Cedar Grove Beach,500
2024-06-17,Wolfe's Pond Beach,675
2017-06-22,Orchard Beach,1300
2017-06-29,Coney Island Beach,120000
2022-07-13,Wolfe's Pond Beach,162
2024-06-21,Cedar Grove Beach,388
2024-07-16,Manhattan Beach,630
2020-07-05,South Beach,7100
2020-07-16,Rockaway Beach,43500
2020-09-02,Manhattan Beach,400
2021-06-18,Cedar Grove Beach,100
2021-08-19,Midland Beach,1886
2023-07-29,Orchard Beach,26000
2024-08-06,Coney Island Beach,2050
2017-08-05,Cedar Grove Beach,225
2017-08-30,Manhattan Beach,700
2018-07-21,Orchard Beach,13000
2018-07-31,South Beach,1050
2018-08-11,Rockaway Beach,2500
2021-08-03,Coney Island Beach,40000
2022-08-08,Manhattan Beach,850
2023-07-20,Rockaway Beach,23000
2023-07-25,Midland Beach,810
2023-07-09,South Beach,1815
2023-08-11,Wolfe's Pond Beach,176
2019-06-18,Rockaway Beach,3100
2019-07-11,Cedar Grove Beach,130
2019-08-05,Manhattan Beach,700
2020-07-21,Midland Beach,1600
2021-08-03,South Beach,6500
2021-09-05,Wolfe's Pond Beach,3800
2023-07-09,Coney Island Beach,76000
2024-08-26,Orchard Beach,1650
2024-05-26,Rockaway Beach,29500
2019-08-26,Coney Island Beach,3100
2019-08-29,South Beach,1900
2021-07-10,Manhattan Beach,2600
2022-06-26,Midland Beach,5900
2022-06-21,Rockaway Beach,7500
2024-08-06,South Beach,735
2018-06-12,Cedar Grove Beach,20
2018-07-07,Manhattan Beach,3500
2019-09-02,Midland Beach,2780
2020-05-25,Wolfe's Pond Beach,110
2020-06-11,Manhattan Beach,60
2021-08-07,Midland Beach,6300
2017-06-08,Manhattan Beach,600
2018-06-20,Wolfe's Pond Beach,95
2018-08-04,Midland Beach,2925
2019-06-07,South Beach,2400
2019-08-22,Orchard Beach,2400
2021-06-10,Orchard Beach,2900
2021-08-14,Rockaway Beach,132500
2023-07-13,Midland Beach,945
2017-07-02,South Beach,1950
2020-07-09,Midland Beach,1240
2021-06-23,Wolfe's Pond Beach,3000
2022-06-10,South Beach,825
2022-09-01,Coney Island Beach,13650
2024-08-31,Cedar Grove Beach,125
2024-06-13,Orchard Beach,3000
2018-08-09,Coney Island Beach,32000
2019-06-27,Rockaway Beach,70000
2019-07-19,Wolfe's Pond Beach,200
2021-07-25,South Beach,3310
2021-08-28,Cedar Grove Beach,0
2022-07-09,Orchard Beach,15600
2024-05-27,Coney Island Beach,3100
2017-07-22,Rockaway Beach,90000
2017-08-13,Wolfe's Pond Beach,70
2018-08-25,Cedar Grove Beach,370
2020-07-14,Coney Island Beach,27000
2020-08-03,Orchard Beach,3933
2023-08-28,Manhattan Beach,800
2023-06-01,Wolfe's Pond Beach,15
2023-08-03,Cedar Grove Beach,153
2024-08-13,Midland Beach,1015
2017-07-11,Coney Island Beach,8500
2018-05-29,Rockaway Beach,11000
2020-07-30,Cedar Grove Beach,190
2020-08-16,Wolfe's Pond Beach,150
2022-06-19,Coney Island Beach,12725
2022-08-23,South Beach,300
2023-08-07,Orchard Beach,600
2019-06-09,Orchard Beach,16000
2019-06-16,Coney Island Beach,73500
2021-09-01,Orchard Beach,25
2022-07-05,Cedar Grove Beach,87
2022-07-30,Manhattan Beach,3500
2022-09-05,Midland Beach,900
2024-06-29,Wolfe's Pond Beach,2450
2017-07-04,Orchard Beach,5500
2020-06-08,Rockaway Beach,10100
2018-07-04,Rockaway Beach,225000
2022-08-31,Cedar Grove Beach,175
2022-08-27,Midland Beach,2670
2023-07-21,Coney Island Beach,21500
2023-06-12,Rockaway Beach,6000
2023-07-04,Wolfe's Pond Beach,400
2024-06-05,South Beach,435
2017-07-23,South Beach,500
2018-08-02,Orchard Beach,2100
2019-08-28,Cedar Grove Beach,10
2019-09-07,Coney Island Beach,18000
2021-07-29,Wolfe's Pond Beach,145
2024-08-01,Midland Beach,675
2024-08-05,Cedar Grove Beach,425
2021-06-05,South Beach,5500
2021-08-02,Cedar Grove Beach,150
2021-08-12,Coney Island Beach,78500
2021-08-17,Manhattan Beach,500
2024-09-07,Orchard Beach,290
2024-08-01,Wolfe's Pond Beach,530
2017-07-06,Midland Beach,650
2017-08-27,Rockaway Beach,18000
2018-05-30,Coney Island Beach,1500
2018-08-14,Manhattan Beach,23380
2019-08-31,Orchard Beach,12000
2022-06-14,Midland Beach,600
2022-08-05,Rockaway Beach,30000
2022-08-27,Wolfe's Pond Beach,345
2023-07-08,Cedar Grove Beach,126
2024-08-18,South Beach,2150
2019-06-11,Midland Beach,350
2020-05-24,Orchard Beach,8463
2020-07-04,Cedar Grove Beach,425
2020-07-19,Manhattan Beach,5900
2020-08-30,Rockaway Beach,95600
2017-07-16,Manhattan Beach,1300
2021-07-07,Rockaway Beach,14800
2022-06-09,Cedar Grove Beach,42
2022-06-24,Manhattan Beach,850
2023-05-28,Orchard Beach,36100
2018-05-30,South Beach,525
2018-07-27,Cedar Grove Beach,125
2019-06-21,Manhattan Beach,150
2019-08-02,Rockaway Beach,32500
2021-06-22,Orchard Beach,275
2024-08-18,Coney Island Beach,18500
2019-06-11,Wolfe's Pond Beach,165
2020-06-27,Midland Beach,1800
2020-07-26,Coney Island Beach,325000
2022-06-22,South Beach,350
2024-06-25,Orchard Beach,11600
2017-06-14,Rockaway Beach,4900
2017-06-24,Midland Beach,650
2017-06-28,Cedar Grove Beach,95
2017-07-06,Wolfe's Pond Beach,85
2017-07-23,Coney Island Beach,6050
2020-07-17,South Beach,715
2022-06-02,Midland Beach,495
2022-07-01,Coney Island Beach,33800
2022-07-21,Orchard Beach,1800
2018-08-12,South Beach,8600
2019-05-30,Midland Beach,715
2019-06-03,Cedar Grove Beach,95
2019-06-28,Coney Island Beach,57000
2020-07-09,Wolfe's Pond Beach,300
2020-08-15,Orchard Beach,39211
2022-09-10,South Beach,1000
2023-09-03,Rockaway Beach,98000
2024-06-05,Coney Island Beach,3500
2018-08-04,Wolfe's Pond Beach,110
2021-06-02,Coney Island Beach,3425
2021-08-15,South Beach,13860
2022-09-06,Manhattan Beach,55
2023-08-19,Orchard Beach,29600
2019-06-21,Orchard Beach,280
2022-06-17,Wolfe's Pond Beach,108
2023-07-04,Midland Beach,2000
2024-08-11,Manhattan Beach,1800
2017-07-16,Orchard Beach,6350
2019-08-21,Midland Beach,1430
2019-09-02,Wolfe's Pond Beach,180
2020-06-20,Rockaway Beach,52800
2021-07-26,Midland Beach,3630
2021-08-24,Coney Island Beach,64000
2022-08-19,Cedar Grove Beach,434
2023-07-14,Manhattan Beach,2050
2023-07-16,Wolfe's Pond Beach,0
2018-07-13,Rockaway Beach,11700
2018-07-23,Midland Beach,1000
2018-08-14,Orchard Beach,156300
2018-08-21,Coney Island Beach,14700
2019-06-19,South Beach,505
2019-08-16,Cedar Grove Beach,135
2019-08-31,Manhattan Beach,3400
2020-06-02,Orchard Beach,368
2023-07-30,Coney Island Beach,88500
2023-07-18,South Beach,610
2024-07-24,Cedar Grove Beach,95
2019-07-12,Manhattan Beach,400
2021-06-17,South Beach,1286
2021-07-17,Midland Beach,2340
2021-07-21,Cedar Grove Beach,95
2021-09-07,Rockaway Beach,25200
2017-09-03,Midland Beach,6100
2018-07-18,Cedar Grove Beach,250
2023-06-22,Midland Beach,240
2023-08-11,South Beach,1637
2023-06-26,Cedar Grove Beach,0
2018-06-08,Coney Island Beach,12000
2018-06-13,Manhattan Beach,110
2019-08-09,Midland Beach,2300
2020-06-22,Cedar Grove Beach,250
2022-07-16,South Beach,2450
2024-08-30,Coney Island Beach,10200
2020-06-18,Wolfe's Pond Beach,40
2020-08-10,South Beach,2775
2022-05-28,Cedar Grove Beach,25
2023-06-09,Orchard Beach,350
2023-08-13,Rockaway Beach,101000
2024-09-08,South Beach,2000
2017-09-03,Wolfe's Pond Beach,890
2018-06-11,South Beach,850
2018-06-22,Rockaway Beach,4000
2019-05-25,Cedar Grove Beach,130
2021-07-04,Orchard Beach,63100
2022-07-13,Coney Island Beach,10750
2023-06-22,Wolfe's Pond Beach,11
2019-07-10,Coney Island Beach,47000
2021-06-25,Rockaway Beach,12500
2021-07-17,Wolfe's Pond Beach,10000
2024-07-07,Orchard Beach,63000
2024-09-01,Manhattan Beach,700
2024-06-17,Coney Island Beach,3850
2017-06-16,Cedar Grove Beach,27
2019-07-10,South Beach,4200
2019-08-12,Wolfe's Pond Beach,500
2021-06-14,Coney Island Beach,40480
2021-08-29,Manhattan Beach,300
2022-08-15,Midland Beach,175
2022-08-02,Orchard Beach,11503
2023-09-08,Cedar Grove Beach,0
2024-07-20,Wolfe's Pond Beach,3000
2024-06-17,South Beach,1726
2017-08-01,Coney Island Beach,2200
2017-08-04,South Beach,2900
2018-06-04,Orchard Beach,1450
2018-08-26,Manhattan Beach,4200
2020-05-27,Rockaway Beach,1245
2020-08-27,Orchard Beach,4480
2022-08-15,Wolfe's Pond Beach,150
2023-08-04,Manhattan Beach,350
2024-07-20,Midland Beach,2050
2020-07-31,Manhattan Beach,250
2020-08-18,Rockaway Beach,8100
2021-08-27,South Beach,4450
2023-08-31,Orchard Beach,1450
2024-09-08,Coney Island Beach,12000
2019-07-03,Orchard Beach,4800
2021-09-05,Coney Island Beach,25500
2022-07-06,Manhattan Beach,475
2023-09-01,Midland Beach,800
2024-07-01,Rockaway Beach,14500
2024-07-15,Cedar Grove Beach,450
2017-07-28,Orchard Beach,2500
2019-07-03,Manhattan Beach,1500
2019-07-21,Rockaway Beach,137000
2020-08-28,Midland Beach,1950
2020-09-01,Cedar Grove Beach,155
2023-08-11,Coney Island Beach,77500
2024-06-10,Manhattan Beach,200
2017-08-15,Rockaway Beach,33500
2017-08-29,Cedar Grove Beach,105
2019-05-30,Wolfe's Pond Beach,10
2020-08-07,Coney Island Beach,3000
2021-06-07,Manhattan Beach,1100
2022-08-07,Cedar Grove Beach,577
2022-08-03,Midland Beach,1100
2017-06-02,Rockaway Beach,4300
2017-06-24,Wolfe's Pond Beach,275
2017-07-25,Manhattan Beach,1150
2018-07-11,Midland Beach,3200
2018-08-26,Orchard Beach,63000
2019-07-01,South Beach,2200
2019-08-04,Cedar Grove Beach,580
2020-06-14,Orchard Beach,9725
2023-08-25,Rockaway Beach,3500
2023-07-30,South Beach,2016
2018-06-20,Coney Island Beach,13000
2020-06-15,Midland Beach,700
2021-07-09,Cedar Grove Beach,30
2022-07-04,South Beach,9000
2017-06-12,Midland Beach,950
2018-07-06,Cedar Grove Beach,5
2018-07-23,Wolfe's Pond Beach,30
2020-05-25,Coney Island Beach,9500
2020-07-29,South Beach,1250
2021-07-13,Orchard Beach,1050
2023-06-14,Cedar Grove Beach,28
2024-08-27,South Beach,1300
2018-06-01,Manhattan Beach,175
2020-06-10,Cedar Grove Beach,160
2022-06-05,Wolfe's Pond Beach,90
2024-08-23,Manhattan Beach,275
2017-06-22,Manhattan Beach,1350
2019-06-18,Midland Beach,250
2020-06-20,Wolfe's Pond Beach,400
2023-06-21,Orchard Beach,550
2023-08-10,Cedar Grove Beach,14
2024-06-29,Coney Island Beach,9500
2018-06-13,Orchard Beach,350
2018-06-24,Rockaway Beach,60000
2018-07-16,Wolfe's Pond Beach,155
2019-05-28,Manhattan Beach,25
2020-08-06,Cedar Grove Beach,110
2020-09-05,Orchard Beach,14679
2021-06-26,Coney Island Beach,97500
2017-08-03,Cedar Grove Beach,120
2017-08-13,Coney Island Beach,9500
2022-05-29,Wolfe's Pond Beach,135
2022-07-12,Cedar Grove Beach,405
2023-06-01,Coney Island Beach,8500
2024-07-19,Orchard Beach,5500
2019-07-09,Cedar Grove Beach,210
2019-07-19,Coney Island Beach,82000
2019-08-14,Wolfe's Pond Beach,250
2022-08-14,Orchard Beach,59500
2024-06-16,Cedar Grove Beach,239
2017-08-06,Orchard Beach,650
2017-08-17,Rockaway Beach,1500
2017-09-08,Wolfe's Pond Beach,0
2020-07-10,South Beach,48
2020-09-07,Manhattan Beach,4600
2021-06-13,Cedar Grove Beach,70
2021-08-14,Midland Beach,5550
2023-06-05,Rockaway Beach,11300
2023-06-27,Wolfe's Pond Beach,30
2024-08-08,South Beach,325
2018-06-10,Cedar Grove Beach,0
2018-08-11,Midland Beach,1150
2021-06-30,Rockaway Beach,42000
2022-08-13,Manhattan Beach,4900
2022-09-03,South Beach,2300
2023-08-23,Coney Island Beach,16000
2024-05-29,Midland Beach,600
2019-07-15,Orchard Beach,1000
2019-08-10,Manhattan Beach,5700
2020-07-16,Midland Beach,725
2020-08-19,Coney Island Beach,1300
2021-08-08,South Beach,4795
2024-07-18,Manhattan Beach,575
2024-07-25,Wolfe's Pond Beach,650
2017-07-13,Midland Beach,300
2019-09-03,South Beach,1400
2020-06-01,Rockaway Beach,2951
2021-07-15,Manhattan Beach,1600
2022-06-21,Midland Beach,550
2022-07-25,Coney Island Beach,4350
2022-08-20,Wolfe's Pond Beach,335
2017-07-04,South Beach,1850
2017-09-01,Manhattan Beach,700
2018-07-02,Coney Island Beach,115000
2019-08-28,Midland Beach,1350
2020-08-23,Rockaway Beach,38300
2022-06-01,Orchard Beach,6000
2023-06-20,Manhattan Beach,400
2024-08-29,Cedar Grove Beach,165
2020-06-06,Coney Island Beach,32000
2020-06-16,Manhattan Beach,1100
2020-06-26,Orchard Beach,1784
2022-06-12,Midland Beach,350
2023-08-27,Rockaway Beach,67500
2017-06-03,Coney Island Beach,46000
2018-07-30,Midland Beach,1100
2019-06-12,South Beach,1850
2019-07-26,Rockaway Beach,18000
2023-06-30,Orchard Beach,12000
2023-07-11,South Beach,1810
2023-08-01,Cedar Grove Beach,157
2024-07-03,Rockaway Beach,11500
2018-07-09,Manhattan Beach,1000
2019-06-04,Wolfe's Pond Beach,360
2020-07-04,Midland Beach,7800
2021-07-25,Orchard Beach,37000
2022-06-15,South Beach,1250
2022-07-29,Rockaway Beach,122000
2017-05-27,Orchard Beach,550
2017-06-07,Rockaway Beach,900
2017-06-29,Wolfe's Pond Beach,240
2020-08-28,Coney Island Beach,11200
2021-08-23,Cedar Grove Beach,0
2022-06-07,Wolfe's Pond Beach,35
2022-09-03,Midland Beach,3200
2017-06-10,Manhattan Beach,2300
2017-08-25,Coney Island Beach,164000
2018-08-20,Cedar Grove Beach,80
2020-07-02,Wolfe's Pond Beach,275
2022-08-23,Orchard Beach,350
2023-06-13,Coney Island Beach,17000
2024-08-08,Midland Beach,200
2024-06-07,Cedar Grove Beach,345
2018-06-25,Orchard Beach,6243
2018-07-28,Wolfe's Pond Beach,490
2019-07-31,Coney Island Beach,3100
2020-07-25,Cedar Grove Beach,750
2021-08-05,Midland Beach,950
2017-07-22,Cedar Grove Beach,140
2021-07-05,Coney Island Beach,340500
2021-07-31,Wolfe's Pond Beach,5500
2022-06-30,Cedar Grove Beach,205
2023-07-11,Midland Beach,1690
2024-07-31,Orchard Beach,1050
2019-06-27,Cedar Grove Beach,400
2019-07-24,Orchard Beach,800
2021-06-07,South Beach,2050
2021-08-05,Manhattan Beach,700
2021-08-28,Rockaway Beach,1800
2023-09-04,Coney Island Beach,112500
2017-08-18,Orchard Beach,83500
2018-08-02,Manhattan Beach,1700
2019-07-03,South Beach,2700
2021-06-01,Cedar Grove Beach,115
2022-08-22,Midland Beach,95
2024-06-10,South Beach,1800
2017-06-05,Wolfe's Pond Beach,105
2017-07-28,South Beach,875
2018-05-29,Cedar Grove Beach,51
2019-08-19,Midland Beach,500
2020-07-07,Manhattan Beach,1100
2020-07-30,Rockaway Beach,11300
2022-08-06,Coney Island Beach,48000
2024-07-27,Midland Beach,2900
2017-07-04,Manhattan Beach,950
2018-08-25,Rockaway Beach,119500
2020-07-31,South Beach,1650
2021-07-24,Midland Beach,4300
2024-07-11,Coney Island Beach,23000
2024-06-12,Rockaway Beach,11500
2017-07-01,Midland Beach,3700
2018-07-04,Wolfe's Pond Beach,2110
2019-06-09,Manhattan Beach,2500
2020-06-18,Coney Island Beach,3000
2024-09-03,Rockaway Beach,10500
2017-06-15,Coney Island Beach,7500
2019-06-06,Midland Beach,2550
2022-06-13,Orchard Beach,2950
2024-08-17,Cedar Grove Beach,250
2020-06-11,Wolfe's Pond Beach,50
2020-07-08,Orchard Beach,10685
2021-08-14,Cedar Grove Beach,350
2023-08-06,Rockaway Beach,44000
2017-08-27,Wolfe's Pond Beach,90
2018-06-04,South Beach,750
2023-07-12,Orchard Beach,31800
2023-06-15,Wolfe's Pond Beach,17
2023-07-20,Cedar Grove Beach,303
2017-09-06,Coney Island Beach,4000
2019-09-06,Cedar Grove Beach,0
2021-06-18,Rockaway Beach,65000
2021-07-10,Wolfe's Pond Beach,3000
2021-08-06,Orchard Beach,36000
2022-06-27,South Beach,225
2022-08-15,Coney Island Beach,11150
2022-08-25,Manhattan Beach,800
2017-06-08,Orchard Beach,350
2017-06-19,Midland Beach,650
2019-07-14,Rockaway Beach,156000
2019-08-12,Coney Island Beach,7500
2020-07-22,South Beach,1600
2022-06-21,Cedar Grove Beach,80
2024-07-13,Wolfe's Pond Beach,475
2024-08-09,Orchard Beach,200
2024-08-20,South Beach,865
2024-07-30,Manhattan Beach,200
2018-08-08,Cedar Grove Beach,175
2019-05-25,Midland Beach,5375
2021-07-17,Coney Island Beach,120000
2021-07-27,Manhattan Beach,4100
2022-08-08,Wolfe's Pond Beach,170
2022-09-04,Orchard Beach,35000
2024-05-26,Cedar Grove Beach,235
2018-06-15,Rockaway Beach,12500
2018-07-07,Orchard Beach,26000
2018-07-14,Coney Island Beach,201500
2020-07-13,Cedar Grove Beach,175
2020-09-02,Wolfe's Pond Beach,180
2021-08-20,South Beach,6519
2023-06-22,Coney Island Beach,3500
2023-07-02,Manhattan Beach,2700
2017-07-10,Cedar Grove Beach,75
2019-06-21,South Beach,295
2019-08-19,Manhattan Beach,1100
2023-06-29,Midland Beach,754
2023-09-06,Wolfe's Pond Beach,0
2024-05-29,South Beach,525
2017-07-16,South Beach,3200
2019-06-15,Cedar Grove Beach,300
2019-08-05,Orchard Beach,3300
2020-06-25,Midland Beach,1960
2021-09-09,Rockaway Beach,1500
2022-06-03,Manhattan Beach,300
2017-08-08,Rockaway Beach,10500
2017-08-30,Orchard Beach,1700
2018-07-21,Manhattan Beach,2100
2021-05-29,South Beach,275
2022-05-31,Midland Beach,750
2022-07-17,Rockaway Beach,42500
2024-07-23,Coney Island Beach,3350
2017-06-17,Wolfe's Pond Beach,55
2018-07-18,Midland Beach,1025
2018-08-14,South Beach,85200
2020-06-25,Manhattan Beach,550
2020-08-11,Rockaway Beach,16200
2023-07-23,South Beach,6395
2018-05-27,Wolfe's Pond Beach,30
2019-07-17,Manhattan Beach,1300
2020-08-12,South Beach,1100
2021-07-12,Midland Beach,700
2021-07-16,Cedar Grove Beach,150
2022-06-05,Coney Island Beach,32900
2024-08-18,Wolfe's Pond Beach,300
2024-07-27,Rockaway Beach,80000
2018-07-09,Midland Beach,1700
2018-07-13,Cedar Grove Beach,230
2019-06-02,Coney Island Beach,58000
2021-06-21,Manhattan Beach,850
2022-08-22,Rockaway Beach,4000
2023-06-17,Midland Beach,1595
2023-08-16,South Beach,1085
2024-05-30,Orchard Beach,725
2018-06-18,Manhattan Beach,2000
2020-06-13,Midland Beach,4000
2020-06-17,Cedar Grove Beach,125
2021-09-10,South Beach,3360
2022-06-25,Orchard Beach,45000
2023-06-29,Rockaway Beach,5100
2017-06-14,Cedar Grove Beach,55
2017-06-24,Coney Island Beach,44000
2017-07-20,Wolfe's Pond Beach,125
2020-05-23,Manhattan Beach,50
2020-07-20,Orchard Beach,8725
2018-06-16,South Beach,8600
2019-08-24,Coney Island Beach,63000
2021-06-02,Wolfe's Pond Beach,1070
2023-07-24,Orchard Beach,12800
2023-09-08,Midland Beach,205
2024-08-01,Coney Island Beach,21500
2018-08-18,Wolfe's Pond Beach,325
2019-05-26,Orchard Beach,58000
2019-06-06,Rockaway Beach,37500
2020-09-04,Midland Beach,1425
2021-06-19,South Beach,5910
2021-07-29,Coney Island Beach,45000
2021-08-18,Orchard Beach,1050
2024-09-06,Manhattan Beach,115
2024-06-05,Wolfe's Pond Beach,175
2017-06-20,Orchard Beach,5500
2018-07-26,Coney Island Beach,52000
2019-07-15,South Beach,1250
2021-09-03,Manhattan Beach,250
2022-07-01,Wolfe's Pond Beach,346
2022-08-10,Midland Beach,425
2023-07-04,Coney Island Beach,295000
2023-09-03,Cedar Grove Beach,385
2024-06-22,South Beach,1750
2024-08-21,Orchard Beach,2500
2017-08-09,South Beach,3900
2019-08-07,Midland Beach,950
2020-06-30,Coney Island Beach,3700
2020-07-26,Wolfe's Pond Beach,635
2020-08-30,Cedar Grove Beach,400
2022-07-18,South Beach,425
2023-08-09,Manhattan Beach,1500
2024-07-15,Midland Beach,800
2018-07-19,Orchard Beach,4800
2018-07-30,Rockaway Beach,12000
2021-09-01,South Beach,505
2022-08-05,Cedar Grove Beach,104
2023-07-30,Wolfe's Pond Beach,280
2021-08-02,Rockaway Beach,23500
2021-08-24,Wolfe's Pond Beach,1900
2022-07-11,Manhattan Beach,400
2024-07-06,Midland Beach,1535
2024-07-10,Cedar Grove Beach,380
2017-07-01,Rockaway Beach,181600
2018-08-28,Manhattan Beach,14500
2019-08-17,Orchard Beach,9500
2020-08-23,Midland Beach,2300
2021-06-05,Orchard Beach,47700
2021-07-07,Cedar Grove Beach,350
2022-06-09,Rockaway Beach,2850
2024-08-27,Wolfe's Pond Beach,250
2024-06-15,Manhattan Beach,4300
2017-08-20,Midland Beach,4700
2017-08-24,Cedar Grove Beach,245
2020-07-04,Rockaway Beach,105500
2020-08-02,Manhattan Beach,650
2022-07-29,Midland Beach,440
2022-08-27,Coney Island Beach,122550
2023-06-12,Cedar Grove Beach,22
2017-07-30,Manhattan Beach,1150
2018-08-04,Coney Island Beach,60400
2018-08-26,South Beach,7600
2019-07-30,Cedar Grove Beach,100
